Assert (16),Async Hooks (5),Buffer (67),C++ Addons (1),Child Process (12),Cluster (9),Console (25),Crypto (72),DNS (37),Errors (2),Events (16),File System (130),HTTP (28),HTTP/2 (43),HTTPS (9),Inspector (6),Modules (4),Net (41),OS (17),Path (11),Performance Timing API (11),Process (30),Query String (4),Readline (13),REPL (5),Stream (36),String Decoder (2),Timers (11),TLS (SSL) (25),Trace Events (4),TTY (3),UDP/Datagram Sockets (20),URL (22),Util (71),V8 (27),VM (Executing JavaScript) (14),Worker Threads (9),Zlib (24)
,,"buf.writeUInt32LE(value, offset)",,,,,"crypto.randomBytes(size[, callback])",,,,"fs.readlinkSync(path[, options])",,,,,,,,,,,,,,,,,,,,,,util.isRegExp(object),,,,
,,"buf.writeUIntBE(value, offset, byteLength)",,,,,"crypto.randomFillSync(buffer[, offset][, size])",,,,"fs.readSync(fd, buffer, offset, length, position)",http.METHODS,,,,,,,,,,,,,,,,,,,,,util.isString(object),,,,
,,"buf.writeUIntLE(value, offset, byteLength)",,,,,"crypto.randomFill(buffer[, offset][, size], callback)",,,,"fs.realpath(path[, options], callback)",http.STATUS_CODES,,,,,,,,,,,,,,,,,,,,,util.isSymbol(object),,,,
,,,,,,,"crypto.scrypt(password, salt, keylen[, options], callback)",,,,"fs.realpath.native(path[, options], callback)","http.createServer([options][, requestListener])",,,,,,,,,,,,,,,,,,,,,util.isUndefined(object),,,,
,,,,,,,"crypto.scryptSync(password, salt, keylen[, options])",,,,"fs.realpathSync(path[, options])","http.get(options[, callback])",,,,,,,,,,,,,,,,,,,,,util.log(string),,,,
,,,,,,,"crypto.setEngine(engine[, flags])",,,,"fs.realpathSync.native(path[, options])","http.get(url[, options][, callback])",,,,,,,,,,,,,,,,,,,,,util.print([...strings]),,,,
,,,,,,,crypto.setFips(bool),,,,"fs.rename(oldPath, newPath, callback)",http.globalAgent,,,,,,,,,,,,,,,,,,,,,util.puts([...strings]),,,,
,,,,,,,"crypto.timingSafeEqual(a, b)",,,,"fs.renameSync(oldPath, newPath)","http.request(options[, callback])",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fs.rmdir(path, callback)","http.request(url[, options][, callback])",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fs.rmdirSync(path),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fs.stat(path[, options], callback)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fs.statSync(path[, options])",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fs.symlink(target, path[, type], callback)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fs.symlinkSync(target, path[, type])",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fs.truncate(path[, len], callback)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fs.truncateSync(path[, len])",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fs.unlink(path, callback)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fs.unlinkSync(path),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fs.unwatchFile(filename[, listener])",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fs.utimes(path, atime, mtime, callback)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fs.utimesSync(path, atime, mtime)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fs.watch(filename[, options][, listener])",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fs.watchFile(filename[, options], listener)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fs.write(fd, buffer[, offset[, length[, position]]], callback)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fs.write(fd, string[, position[, encoding]], callback)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fs.writeFile(file, data[, options], callback)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fs.writeFileSync(file, data[, options])",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fs.writeSync(fd, buffer[, offset[, length[, position]]])",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fs.writeSync(fd, string[, position[, encoding]])",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"filehandle.appendFile(data, options)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,filehandle.chmod(mode),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"filehandle.chown(uid, gid)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,filehandle.close(),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,filehandle.datasync(),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"filehandle.read(buffer, offset, length, position)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,filehandle.readFile(options),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,filehandle.stat([options]),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,filehandle.sync(),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,filehandle.truncate(len),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"filehandle.utimes(atime, mtime)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"filehandle.write(buffer, offset, length, position)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"filehandle.writeFile(data, options)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fsPromises.access(path[, mode])",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fsPromises.appendFile(path, data[, options])",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fsPromises.chmod(path, mode)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fsPromises.chown(path, uid, gid)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fsPromises.copyFile(src, dest[, flags])",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fsPromises.lchmod(path, mode)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fsPromises.lchown(path, uid, gid)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fsPromises.link(existingPath, newPath)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fsPromises.lstat(path[, options])",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fsPromises.mkdir(path[, mode])",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fsPromises.mkdtemp(prefix[, options])",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fsPromises.open(path, flags[, mode])",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fsPromises.readdir(path[, options])",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fsPromises.readFile(path[, options])",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fsPromises.readlink(path[, options])",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fsPromises.realpath(path[, options])",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fsPromises.rename(oldPath, newPath)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fsPromises.rmdir(path),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fsPromises.stat(path[, options])",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fsPromises.symlink(target, path[, type])",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fsPromises.truncate(path[, len])",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fsPromises.unlink(path),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fsPromises.utimes(path, atime, mtime)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"fsPromises.writeFile(file, data[, options])",,,,,,,,,,,,,,,,,,,,,,,,,,
